case_name,docket_number,date_filed,court,payment_found,payment_amount,outcome,url
Cytiva Bioprocess R&D Ab v. Jsr Corp. (Fed. Cir. 2024),23-2074,2024-12-04,Court of Appeals for the Federal Circuit,0,,1.0,https://www.courtlistener.com/opinion/10287756/cytiva-bioprocess-rd-ab-v-jsr-corp/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=15
Advanced Technology Systems Company v. United States (Fed. Cl. 2024),23-1000,2024-12-03,United States Court of Federal Claims,0,,,https://www.courtlistener.com/opinion/10287159/advanced-technology-systems-company-v-united-states/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=15
Van Loon v. TREA (5th Cir. 2024),23-50669,2024-11-26,Court of Appeals for the Fifth Circuit,0,,1.0,https://www.courtlistener.com/opinion/10284289/van-loon-v-trea/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=15
"Smartflash, LLC v. U.S. Patent and Trademark Office (D.D.C. 2024)",Civil Action No. 2023-3237,2024-11-20,"District Court, District of Columbia",0,,,https://www.courtlistener.com/opinion/10278200/smartflash-llc-v-us-patent-and-trademark-office/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=15
"In the Interest of B.G.J., a Child v. the State of Texas (Tex. App.-Eastland 2024)",11-23-00216-CV,2024-11-15,"Texas Court of Appeals, 11th District (Eastland)",0,,1.0,https://www.courtlistener.com/opinion/10275164/in-the-interest-of-bgj-a-child-v-the-state-of-texas/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=15
"Traxcell Technologies, LLC v. Verizon Wireless Personal Communications LP (Tex. App.-Waco 2024)",10-23-00081-CV,2024-11-14,"Texas Court of Appeals, 10th District (Waco)",1,"$489,710.00",1.0,https://www.courtlistener.com/opinion/10274737/traxcell-technologies-llc-v-verizon-wireless-personal-communications-lp/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=15
"National Presto Ind., Inc. v. U.S. Merchants Fin. Grp., Inc. (8th Cir. 2024)",23-1493,2024-11-12,Court of Appeals for the Eighth Circuit,1,"$150,000",0.0,https://www.courtlistener.com/opinion/10272598/national-presto-ind-inc-v-us-merchants-fin-grp-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=15
Hawaii Conference Foundation v. Kamai-Kaaihue (Haw. App. 2024),CAAP-20-0000768,2024-11-12,Hawaii Intermediate Court of Appeals,1,$1.00,,https://www.courtlistener.com/opinion/10272546/hawaii-conference-foundation-v-kamai-kaaihue/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=15
"Kress Stores of Puerto Rico, Inc. v. Wal-Mart Puerto Rico, Inc. (1st Cir. 2024)",23-1060,2024-11-12,Court of Appeals for the First Circuit,1,$65million,0.0,https://www.courtlistener.com/opinion/10272622/kress-stores-of-puerto-rico-inc-v-wal-mart-puerto-rico-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=15
"Commonwealth of Virginia, Department of Taxation v. FJ Management, Inc., d/b/a FJI, Inc. (Va. Ct. App. 2024)",0701232,2024-11-12,Court of Appeals of Virginia,0,,1.0,https://www.courtlistener.com/opinion/10272400/commonwealth-of-virginia-department-of-taxation-v-fj-management-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=15
