case_name,docket_number,date_filed,court,payment_found,payment_amount,outcome,url
"San Francisco Technology, Inc. v. Graphic Packaging International, Inc. (N.D. Ga. 2011)",Civil Action 1:10-CV-1195-CAP,2011-06-16,,0,,unknown,https://www.courtlistener.com/opinion/2113745/san-francisco-technology-inc-v-graphic-packaging-international-inc/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3
Promote Innovation LLC v. Roche Diagnostics Corp. (S.D. Ind. 2011),Case 1:10-cv-964-TWP-TAB,2011-06-03,,0,,unknown,https://www.courtlistener.com/opinion/2114866/promote-innovation-llc-v-roche-diagnostics-corp/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3
"Rogers v. TRISTAR PRODUCTS, INC. (E.D. Pa. 2011)",Civil Action 11-1111,2011-06-02,,0,,unknown,https://www.courtlistener.com/opinion/2175349/rogers-v-tristar-products-inc/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3
"Juniper Networks, Inc. v. Shipley (Fed. Cir. 2011)",2010-1327,2011-04-29,,0,,unknown,https://www.courtlistener.com/opinion/215720/juniper-networks-inc-v-shipley/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3
Luka v. Procter and Gamble Co. (N.D. Ill. 2011),Case 10 C 2511,2011-03-28,,0,,unknown,https://www.courtlistener.com/opinion/2176905/luka-v-procter-and-gamble-co/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3
"United States Ex Rel. Heathcote Holdings Corp. v. William K. Walthers, Inc. (N.D. Ill. 2011)",09 C 6722,2011-03-11,,0,,unknown,https://www.courtlistener.com/opinion/2115880/united-states-ex-rel-heathcote-holdings-corp-v-william-k-walthers-inc/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3
Brinkmeier v. GRACO CHILDREN'S PRODUCTS INC. (D. Del. 2011),Civil Action 09-262-LPS,2011-03-07,,0,,unknown,https://www.courtlistener.com/opinion/2470562/brinkmeier-v-graco-childrens-products-inc/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3
Simonian v. Weber-Stephen Products Co. (N.D. Ill. 2011),No. 10 C 1220,2011-02-15,,0,,unknown,https://www.courtlistener.com/opinion/8777725/simonian-v-weber-stephen-products-co/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3
"Texas Data Co., LLC v. Target Brands, Inc. (E.D. Tex. 2011)",Civil Action 2:10-269-TJW,2011-01-12,,0,,unknown,https://www.courtlistener.com/opinion/2476992/texas-data-co-llc-v-target-brands-inc/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3
"Kimberly-Clark Worldwide, Inc. v. First Quality Baby Products, LLC (M.D. Penn. 2010)",Civil 1:CV-09-1685,2010-12-21,,0,,unknown,https://www.courtlistener.com/opinion/2475310/kimberly-clark-worldwide-inc-v-first-quality-baby-products-llc/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3
